Is Candidate,Axiom,As SubClassOf Axiom,Verbalization
1,Female EquivalentTo hasGender value female,,every female has gender female
1,KoalaWithPhD EquivalentTo Koala and (hasDegree value PhD),,every koala with phd is a koala that has degree PhD
1,Male EquivalentTo hasGender value male,,every male has gender male
1,MaleStudentWith3Daughters EquivalentTo Student and (hasChildren only Female) and (hasGender value male) and (hasChildren exactly 3 Thing),,"every male student with 3 daughter is a student that has as child only a female, that has gender male and that has exactly 3 children"
1,Parent EquivalentTo Animal and (hasChildren min 1 Thing),,every parent is an animal that has at least 1 child
1,Student EquivalentTo Person and (hasHabitat some University) and (isHardWorking value true),,every student is a person that has as habitat an university and that is hard working
1,Animal SubClassOf hasHabitat min 1 Thing,,every animal has at least 1 habitat
1,Animal SubClassOf hasGender exactly 1 Thing,,every animal has exactly 1 gender
1,DryEucalyptForest SubClassOf Forest,,every dry eucalypt forest is a forest
1,Forest SubClassOf Habitat,,every forest is a habitat
1,GraduateStudent SubClassOf Student,,every graduate student is a student
1,"GraduateStudent SubClassOf hasDegree some ({BA , BS})",,every graduate student has as degree BA or BS
1,Koala SubClassOf Marsupials,,every koala is a marsupial
1,Koala SubClassOf hasHabitat some DryEucalyptForest,,every koala has as habitat a dry eucalypt forest
1,Koala SubClassOf isHardWorking value false,,every koala is not hard working
1,Marsupials SubClassOf Animal,,every marsupial is an animal
1,Parent SubClassOf Animal,,every parent is an animal
1,Person SubClassOf Animal,,every person is an animal
1,Quokka SubClassOf Marsupials,,every quokka is a marsupial
1,Quokka SubClassOf isHardWorking value true,,every quokka is hard working
1,Rainforest SubClassOf Forest,,every rainforest is a forest
1,TasmanianDevil SubClassOf Marsupials,,every tasmanian devil is a marsupial
1,University SubClassOf Habitat,,every university is a habitat
1,BA Type Degree,{BA} SubClassOf Degree,BA is a degree
1,BS Type Degree,{BS} SubClassOf Degree,BS is a degree
1,MA Type Degree,{MA} SubClassOf Degree,MA is a degree
1,PhD Type Degree,{PhD} SubClassOf Degree,PhD is a degree
1,female Type Gender,{female} SubClassOf Gender,female is a gender
1,male Type Gender,{male} SubClassOf Gender,male is a gender
1, Functional: hasGender,Thing SubClassOf hasGender max 1 Thing,everything has at most 1 gender
1,hasChildren Domain Animal,hasChildren some Thing SubClassOf Animal,everything that has a child is an animal
1,hasDegree Domain Person,hasDegree some Thing SubClassOf Person,everything that has a degree is a person
1,hasGender Domain Animal,hasGender some Thing SubClassOf Animal,everything that has a gender is an animal
1,hasHabitat Domain Animal,hasHabitat some Thing SubClassOf Animal,everything that has a habitat is an animal
1,hasChildren Range Animal,Thing SubClassOf hasChildren only Animal,everything has as child only an animal
1,hasDegree Range Degree,Thing SubClassOf hasDegree only Degree,everything has as degree only a degree
1,hasGender Range Gender,Thing SubClassOf hasGender only Gender,everything has as gender only a gender
1,hasHabitat Range Habitat,Thing SubClassOf hasHabitat only Habitat,everything has as habitat only a habitat
1, Functional: isHardWorking,Thing SubClassOf isHardWorking max 1 Literal,everything is hard working at most 1 Literals
1,isHardWorking Domain Person,isHardWorking some Literal SubClassOf Person,everything that is hard working is a person
1,isHardWorking Range: boolean,Thing SubClassOf isHardWorking only boolean,everything something that is either hard working or not